"Fecha","Mes_V","Dia_V","Vendedor","Cliente","Marca","Modelo","Anio","Precio_USD","Porciento_Comision","Comision_USD","Cant_Cuotas","Cuotas_pagadas","Tipo_cliente"
"8/1/2022",8,1,"Monica Moore MD","Mary Butler","Nissan","Altima",2018,15983,0.070495228,1126.73,1,1,0
"3/15/2022",3,15,"Roberto Rose","Richard Pierce","Nissan","F-150",2016,38474,0.134438837,5172.4,1,1,0
"4/29/2022",4,29,"Jacob Bishop","Sandra Moore","Ford","Civic",2016,33340,0.114535922,3818.63,1,1,0
"9/4/2022",9,4,"Michael Walton","Johnny Scott","Ford","Altima",2013,41937,0.092190722,3866.2,1,1,0
"6/16/2022",6,16,"John Newton","Vanessa Jones","Honda","Silverado",2022,20256,0.113489793,2298.85,1,1,0
"12/18/2022",12,18,"Kristen Martinez","John Olsen","Ford","Altima",2015,14769,0.077246935,1140.86,1,1,0
"6/12/2022",6,12,"Kimberly Maldonado","Tyler Lawson","Honda","F-150",2013,41397,0.14278012,5910.67,1,1,0
"6/20/2022",6,20,"Tara Hubbard","Michael Bond","Ford","Altima",2015,46233,0.071623758,3311.38,1,1,0
"9/2/2022",9,2,"Heather Davidson","Stephanie Smith","Ford","Corolla",2021,27337,0.099503651,2720.13,1,1,0
"4/6/2022",4,6,"Betty Young","Ashley Moreno DDS","Ford","Civic",2018,16309,0.149925782,2445.14,1,1,0
"3/12/2022",3,12,"Chad Davis","Isaac Patton","Honda","Silverado",2021,41259,0.09254116,3818.16,1,1,0
"1/29/2022",1,29,"Lauren Hernandez","Justin Gray","Toyota","Silverado",2022,48224,0.090592146,4368.72,1,1,0
"5/29/2022",5,29,"David Diaz","Rebecca Best","Ford","Altima",2017,36409,0.122348852,4454.6,1,1,0
"8/12/2022",8,12,"Brian Moran","Lisa Anderson","Toyota","F-150",2011,29628,0.112326294,3328,1,1,0
"4/6/2022",4,6,"Amanda Butler","Rodney Black","Chevrolet","Altima",2021,10313,0.103874895,1071.26,10,2,1
"12/21/2022",12,21,"Jacob Bishop","Natalie Thompson","Honda","Corolla",2016,36607,0.055250978,2022.57,1,1,0
"8/12/2022",8,12,"Kristin Holmes","Michael Hill","Nissan","Altima",2010,39916,0.052007775,2075.94,1,1,0
"8/23/2022",8,23,"Amy Solomon","Taylor Moore","Nissan","Silverado",2018,18482,0.086185324,1592.88,1,1,0
"10/18/2022",10,18,"William Williams","Jordan Taylor","Toyota","Civic",2013,17158,0.127227796,2182.97,1,1,0
"3/9/2022",3,9,"Patricia Reynolds","Alison Walker","Ford","Altima",2014,28796,0.093451209,2691.02,1,1,0
"9/28/2022",9,28,"Jacob Bishop","Juan Davies","Ford","Corolla",2014,24128,0.084780882,2045.59,1,1,0
"12/20/2022",12,20,"Michael Walton","Kristin Robinson","Toyota","Civic",2011,36895,0.128288109,4733.19,1,1,0
"7/26/2022",7,26,"John Newton","Clifford Evans","Nissan","Altima",2013,16797,0.144237331,2422.75,1,1,0
"7/18/2022",7,18,"Kristen Martinez","Nancy Martinez","Chevrolet","Altima",2020,30184,0.136991193,4134.94,1,1,0
"12/19/2022",12,19,"Kimberly Maldonado","Ruben Gomez","Nissan","Civic",2010,41587,0.084404408,3510.13,1,1,0
"2/15/2022",2,15,"Tara Hubbard","Jimmy Dunn","Honda","Silverado",2016,35279,0.063399664,2236.68,1,1,0
"6/23/2022",6,23,"Heather Davidson","David Wagner","Chevrolet","F-150",2016,33502,0.122923326,4118.18,2,2,0
"7/14/2022",7,14,"Betty Young","Claire Day","Nissan","F-150",2018,30296,0.100170363,3034.76,1,1,0
"7/17/2022",7,17,"Chad Davis","Corey West","Honda","Corolla",2018,28406,0.085246638,2421.52,1,1,0
"12/11/2022",12,11,"Lauren Hernandez","Rebecca Hansen","Chevrolet","F-150",2012,20725,0.145073441,3006.65,1,1,0
"7/18/2022",7,18,"David Diaz","Jason Hahn","Ford","Altima",2011,23330,0.068980756,1609.32,1,1,0
"5/13/2022",5,13,"Brian Moran","Jerry Baker","Chevrolet","Silverado",2019,41216,0.12869098,5304.13,1,1,0
"9/5/2022",9,5,"Amanda Butler","April Morales","Ford","Silverado",2022,43188,0.099220141,4285.12,1,1,0
"12/30/2022",12,30,"Jacob Bishop","Kelly Beasley","Chevrolet","Altima",2013,15064,0.053381651,804.14,1,1,0
"7/2/2022",7,2,"Lacey Cooper","Jennifer Brown","Toyota","Altima",2015,36019,0.098335927,3541.96,1,1,0
"2/4/2022",2,4,"Jennifer Stevens MD","Brittany Gonzales","Chevrolet","Civic",2019,23249,0.141622041,3292.57,1,1,0
"10/8/2022",10,8,"Kristen Becker","Ryan Medina","Nissan","Civic",2016,38278,0.056340279,2156.59,1,1,0
"1/24/2022",1,24,"Jacob Bishop","Timothy Mccoy","Nissan","Silverado",2018,38307,0.07953119,3046.6,1,1,0
"4/15/2022",4,15,"Michael Walton","Matthew Anderson","Chevrolet","Corolla",2015,36834,0.080895726,2979.71,1,1,0
"8/10/2022",8,10,"John Newton","Richard Wolf","Ford","Civic",2012,31941,0.102854838,3285.29,1,1,0
"5/25/2022",5,25,"Kristen Martinez","Rachel Madden","Honda","Civic",2011,17997,0.062692864,1128.28,1,1,0
"2/15/2022",2,15,"Kimberly Maldonado","Lynn Villarreal","Honda","Corolla",2015,44250,0.115044401,5090.71,1,1,0
"4/18/2022",4,18,"Tara Hubbard","Jesse Dunn","Nissan","Corolla",2013,13194,0.118621261,1565.09,1,1,0
"11/14/2022",11,14,"Heather Davidson","Amanda Combs","Ford","Civic",2012,29108,0.122976628,3579.6,1,1,0
"5/24/2022",5,24,"Betty Young","Amy Sanchez","Chevrolet","F-150",2013,26168,0.136261663,3565.7,1,1,0
"3/23/2022",3,23,"Chad Davis","Matthew Peterson","Chevrolet","Civic",2013,14864,0.077744275,1155.59,1,1,0
"9/3/2022",9,3,"Lauren Hernandez","Sabrina Williams","Toyota","Corolla",2012,28564,0.061851657,1766.73,1,1,0
